MR32 ASCII
Name	TYR30_slow
Frequency	1500
Date	26-08-2015 09:35:05
"Time,s"	"RT MED. GASTRO,uV"	"RT LAT. GASTRO,uV"	"RT BICEPS FEM.,uV"	"RT VMO,uV"	"RT VLO,uV"	"RT RECTUS FEM.,uV"	"RT SOLEUS,uV"	"RT SEMITEND.,uV"	"Channel 12,uV"
0.0853	4.17425	2.60003	12.3959	-28.6857	51.4556	-13.2562	-18.5998	-66.3824	0.310584
0.0860	5.71394	0.160496	2.63369	-24.4234	53.899	-19.9773	-21.0422	-16.0187	0.621168
0.0867	0.205291	1.99015	-10.8157	-23.801	65.799	-25.7683	-11.8832	-19.6929	0.621168
0.0873	2.66879	8.37788	-23.633	-18.3128	75.5729	-18.7496	4.90045	-65.7775	0.621168
0.0880	4.48219	12.3582	-30.024	-14.6541	63.0541	-6.23747	8.56405	-27.6239	0.621168
0.0887	-4.9612	9.91864	-30.3401	-13.7299	40.7773	0.47122	-6.09034	69.1157	0.310584
0.0893	-11.3937	9.91864	-19.9809	-4.28117	37.7309	3.83177	-16.768	132.294	0
0.0900	-9.85398	12.6471	1.40463	9.76937	78.0005	4.7494	-17.9892	110.003	0.310584
0.0907	-12.5912	10.5285	17.277	14.3334	135.993	3.52175	-19.5235	-4.1223	0.621168
0.0913	-17.7919	7.47911	13.9059	14.6541	161.316	8.09755	-13.715	-84.3951	0.310584
0.0920	-15.0547	10.2075	3.23066	15.5593	154.002	23.6602	-5.18227	-26.7053	0.621168
0.0927	-9.54604	12.6471	-5.02156	10.3729	136.596	37.4	-3.03734	37.3695	0.621168
0.0933	-11.3937	8.98777	-22.0879	-3.35704	111.876	35.5647	-1.81614	-24.2633	0.621168
0.0940	-13.2071	5.64945	-36.4502	-18.3128	72.828	30.6789	-3.03734	-44.4043	0.621168
0.0947	-8.00636	5.93835	-29.7431	-24.4234	26.7353	24.2802	-4.25854	79.4887	0.310584
0.0953	-3.76367	5.03957	-17.8388	-21.6699	-10.8052	8.09755	2.75553	141.749	0.310584
0.0960	-4.9612	3.8198	-8.07664	-18.0111	-31.5429	-11.7309	4.28985	62.1033	0.310584
0.0967	-7.11676	1.38026	5.65365	-15.5593	-45.2834	-24.243	-6.40347	-13.5767	0.310584
0.0973	-5.26914	0.77038	18.787	-11.297	-58.4052	-23.0278	-10.9751	-19.6929	0.310584
0.0980	-0.992241	2.88893	26.1262	-2.75353	-75.795	-21.8125	-6.70094	-8.40142	0.310584
0.0987	-2.53193	4.10869	26.7232	6.09171	-96.2471	-30.6541	-5.47974	-8.40142	0.310584
0.0993	-7.4247	2.60003	22.1581	4.88468	-84.9501	-35.5399	-7.92214	-7.48287	0.310584
0.1000	-2.53193	4.71858	18.787	0.301757	-41.9197	-32.1794	-8.53273	1.68028	0.310584
0.1007	3.28466	13.5779	13.9059	-1.22589	-17.1995	-29.1289	-6.70094	9.61123	0.310584
0.1013	-9.85398	16.9163	9.34081	-5.18644	-20.8647	-23.9454	-7.92214	9.61123	0.310584
0.1020	-27.5432	8.08899	1.08859	-9.16585	-11.1067	-14.7938	-4.86914	10.2161	0.310584
0.1027	-25.114	1.66916	-46.5285	-5.4882	45.3469	-0.136406	-1.81614	15.1002	0.310584
0.1033	-16.8681	2.60003	-92.2844	0.301757	101.198	9.01519	-17.9892	13.5767	0.310584
0.1040	-18.4078	1.38026	-66.9659	1.22589	106.386	9.3252	-29.2775	7.16921	0.310584
0.1047	-13.2071	-2.60003	-31.2531	-1.52764	86.5526	23.0526	-14.9362	9.00632	0.310584
0.1053	0.205291	-6.86922	-26.688	-5.18644	73.7324	38.3177	-10.3645	11.7396	0.310584
0.1060	3.86632	-6.58033	-23.633	-4.88468	61.8324	30.9889	-20.4316	7.77412	0.310584
0.1067	-2.53193	-0.160496	-20.8939	-6.11057	29.7976	24.5779	-15.2493	5.04085	0.310584
0.1073	-9.2381	6.54823	-22.0879	-9.16585	-1.03133	26.1031	1.84745	5.64576	0.310584
0.1080	-10.7778	7.47911	-17.2068	-8.24172	-15.9936	14.1986	14.6544	1.97153	0.621168
0.1087	-8.00636	5.03957	-6.2155	-9.46761	-34.6052	-5.93986	18.0205	-6.56431	0.621168
0.1093	-4.34533	3.8198	-4.10855	-13.4282	-58.1037	-17.2243	11.617	-7.79652	0.621168
0.1100	-5.26914	2.27904	-8.35757	-11.297	-91.979	-22.7178	-3.64794	-5.35451	0.310584
0.1107	-6.80883	0.160496	-5.61853	-2.45177	-113.336	-26.0783	-20.1341	-11.762	0
0.1113	-2.53193	1.66916	-1.05348	10.6746	-84.9501	-11.4333	-14.0281	-11.4483	0.310584
0.1120	-4.34533	1.38026	-1.96649	14.6541	-45.5849	5.65464	0.923727	-3.80864	0.621168
0.1127	-11.3937	-3.20992	-1.96649	6.41233	-25.4501	3.21174	-1.20554	-4.43595	0
0.1133	-3.45574	-2.27904	2.0016	2.43291	-8.36173	3.21174	-2.73987	-3.20374	0.310584
0.1140	3.86632	0.160496	2.31765	2.13116	-2.856	8.70518	0.626256	-4.7272	0.621168
0.1147	-3.76367	-2.27904	-1.65044	-1.52764	-14.7719	1.99649	-3.64794	-16.9373	0.310584
0.1153	-8.93017	-1.66916	-2.8795	-3.05528	-25.7516	-6.23747	-6.40347	-18.4607	0.310584
0.1160	-4.65327	5.32846	-0.42139	0	-29.7183	-1.66167	-1.20554	-8.69267	0.310584
0.1167	-4.65327	8.98777	-0.42139	-0.301757	-39.4921	7.48992	0.0156564	-6.25066	0.310584
0.1173	-7.4247	5.03957	-4.70552	-3.05528	-55.3588	13.901	-3.35047	-0.47048	0.310584
0.1180	-4.9612	2.88893	-4.38948	0	-67.8617	20.6097	-3.96107	18.1471	-0.310584
0.1187	-4.03739	3.8198	-0.140463	3.96055	-70.6066	22.445	-1.20554	19.3793	-0.310584
0.1193	-7.73264	1.05927	0.175579	3.96055	-55.3588	13.901	3.67925	-1.68028	0.310584
0.1200	-7.73264	1.66916	1.68556	8.54348	-21.7849	2.3065	7.34285	-8.69267	0.621168
0.1207	-3.76367	10.5285	2.0016	17.3887	11.1701	-5.62984	12.8226	17.8558	0.310584
0.1213	-8.62223	9.30876	-6.53155	16.4834	29.7976	-11.1233	18.318	43.4858	0.621168
0.1220	-14.4388	-3.20992	-12.6417	5.4882	30.4005	-10.8257	21.9816	30.6708	0.621168
0.1227	-2.53193	-17.2373	-9.90267	-4.58293	17.8817	-3.18694	47.6268	11.4483	0.310584
0.1233	3.86632	-24.267	-5.93458	-4.28117	13.0107	5.65464	86.0789	7.77412	0.310584
0.1240	-19.2974	-26.4176	-4.38948	3.05528	13.3121	8.40756	92.1692	3.20374	0.310584
0.1247	-45.2667	-34.3461	-3.79251	7.3176	5.07733	6.8823	80.5835	0.448076	0
0.1253	-47.0801	-16.3385	-2.24741	9.14699	1.11067	2.91413	42.4288	1.68028	0
0.1260	-34.5574	5.32846	-0.140463	9.44875	12.3919	-3.49695	-53.0908	3.49499	0.310584
0.1267	-38.2184	-21.8274	-0.140463	7.01584	28.8773	-5.02222	-115.654	6.56431	0.310584
0.1273	-60.2188	-42.2746	-2.8795	4.26231	28.2585	-2.57931	-73.5381	6.85556	0.310584
0.1280	-65.6932	-30.0769	-3.79251	2.13116	2.93533	1.68647	-17.9892	4.7272	0.310584
0.1287	-46.7722	-31.2967	-0.42139	-0.603513	-21.1661	6.57228	-25.927	5.04085	0.310584
0.1293	-5.26914	-32.8054	1.68556	-2.13116	-24.2284	4.43939	-8.53273	12.0532	0.310584
0.1300	38.3552	-19.6768	-0.737433	3.05528	-7.44146	-5.93986	95.8328	22.7398	0.621168
0.1307	60.0477	-15.1187	-2.8795	12.504	27.0368	-16.3191	146.497	32.7992	0.621168
0.1313	74.6918	-11.4594	0.175579	16.4834	52.0744	-23.9454	58.3044	32.4855	0
0.1320	74.6918	-5.03957	0.772548	11.9005	33.4469	-31.8818	-19.821	26.9966	0.310584
0.1327	52.4177	-14.1878	-3.79251	7.01584	7.20346	-32.1794	-13.4175	23.3448	0.621168
0.1333	23.7111	-16.3385	-5.30249	6.09171	25.5136	-19.9773	-19.821	-13.8904	0.621168
0.1340	2.36085	-4.42969	-8.07664	2.13116	60.3092	-8.99039	-52.1671	-53.8587	0.310584
0.1347	5.406	-4.42969	-12.0447	1.52764	71.2889	-3.49695	-67.7296	-34.0314	0.310584
0.1353	14.8836	6.25934	-10.1836	14.9558	70.3845	6.8823	-68.0427	-4.43595	0.310584
0.1360	14.5757	30.6547	-6.2155	26.8563	67.941	14.1986	-60.1049	0.448076	0.621168
0.1367	9.6829	31.5856	-5.61853	28.0822	60.3092	13.901	-58.8837	1.36663	0.621168
0.1373	-0.102646	22.4373	-0.737433	28.0822	44.744	18.4768	-56.1438	3.20374	0.621168
0.1380	-5.26914	22.4373	8.11176	25.6304	29.4802	24.2802	-46.3742	4.1223	0
0.1387	-6.19295	19.9978	8.4278	14.3334	14.8353	16.3439	-42.7106	-2.59884	0.310584
0.1393	-13.8229	20.2867	2.0016	3.05528	-1.65013	11.1481	-28.98	-9.31998	0.621168
0.1400	-20.8371	23.6571	0.175579	1.52764	-21.1661	20.3121	-3.96107	0.156827	0
0.1407	-11.9753	23.3361	5.65365	7.61935	-39.4921	19.3944	-0.297471	12.0532	-0.621168
0.1413	2.97672	23.6571	4.74064	8.84524	-52.9153	2.3065	-10.3645	11.1347	0
0.1420	7.52735	22.1163	-0.140463	2.43291	-69.3849	-9.3004	-0.594943	9.90248	0.310584
0.1427	14.8836	19.6768	5.96969	-3.35704	-87.695	-9.90803	29.3088	18.1471	0
0.1433	30.4173	25.1658	11.4829	-7.01584	-92.2805	-11.4333	72.3325	19.3793	-0.621168
